Dataset,Kmer Length,Program,Threads,Time (Seconds),time-dev,RAM (M),ram-dev,Disk (M),disk-dev
5genome-fna,4,mercat2,1,4.07,0.06066300355241228,268.928,0.32767789061819896,19.848,0.0
5genome-fna,4,mercat2,4,2.0140000000000002,0.028705400188814685,268.8864,0.40740819824838714,19.848,0.0
5genome-fna,4,mercat2,8,2.004,0.02332380757938114,268.7288,0.42847002228860526,19.848,0.0
5genome-fna,31,mercat2,1,11.154,0.06974238309665054,265.78959999999995,0.5357468058700843,19.728,0.0
5genome-fna,31,mercat2,4,5.41,0.020000000000000104,265.65520000000004,0.8129015684570942,19.728,0.0
5genome-fna,31,mercat2,8,5.372,0.023151673805580586,265.9776,0.5383863296927232,19.728,0.0
5genome-fna,4,kmc,1,0.10093,0.01235835542457005,60.8064,1.4154792262693212,0.0,0.0
5genome-fna,4,kmc,4,0.10137559999999998,0.005693566460488542,60.2528,0.0015999999999991132,0.0,0.0
5genome-fna,4,kmc,8,0.1065912,0.009459676831689336,60.9856,1.4052008539707055,0.0,0.0
5genome-fna,31,kmc,1,1.95627,0.10899186079703381,338.6816,0.016511813952437556,18.0,0.0
5genome-fna,31,kmc,4,0.7286036,0.027824174414346977,338.2592,1.5237078985159958,18.0,0.0
5genome-fna,31,kmc,8,0.5450874,0.025289717448797253,334.212,10.408058108984582,18.0,0.0
5genome-fna,4,jellyfish,1,0.726,0.02059126028197402,3.3199999999999994,0.0332746149489367,0.004,0.0
5genome-fna,4,jellyfish,4,0.686,0.007999999999999957,3.316,0.07128534211182534,0.004,0.0
5genome-fna,4,jellyfish,8,0.606,0.00489897948556636,3.3896,0.03866574711550266,0.004,0.0
5genome-fna,31,jellyfish,1,14.606,0.06499230723708758,440.668,0.0,0.004,0.0
5genome-fna,31,jellyfish,4,4.644,0.0922171350671878,442.2784,0.006499230723717411,0.004,0.0
5genome-fna,31,jellyfish,8,2.756,0.24450766859139614,444.448,0.0066932802122638,0.004,0.0
archaeal-viruses-82-fna,4,mercat2,1,1.768,0.05192301994298872,278.2224,0.3189342251938559,6.728,0.0
archaeal-viruses-82-fna,4,mercat2,4,0.93,0.054772255750516606,278.7896,0.4772695674354393,6.728,0.0
archaeal-viruses-82-fna,4,mercat2,8,0.898,0.09064215354899728,279.1368,0.1699016185914668,6.728,0.0
archaeal-viruses-82-fna,31,mercat2,1,2.224,0.04317406628984577,268.4912,0.44634981796792456,5.604,0.0
archaeal-viruses-82-fna,31,mercat2,4,1.0939999999999999,0.04715930449020633,268.84080000000006,0.389226103955013,5.604,0.0
archaeal-viruses-82-fna,31,mercat2,8,0.9119999999999999,0.07652450587883594,268.7296,0.26818023789981416,5.604,0.0
archaeal-viruses-82-fna,4,kmc,1,0.0327656,0.003930896773002313,27.6624,0.9441884557650555,0.0,0.0
archaeal-viruses-82-fna,4,kmc,4,0.0249982,0.0037251820572959914,25.956,0.4465404796880119,0.0,0.0
archaeal-viruses-82-fna,4,kmc,8,0.0249104,0.004813795782955484,25.936,0.07239889501919305,0.0,0.0
archaeal-viruses-82-fna,31,kmc,1,0.6902236,0.01937980699181494,108.07919999999999,0.012749901960407806,4.0,0.0
archaeal-viruses-82-fna,31,kmc,4,0.31725539999999997,0.018121760693707443,108.4136,0.03052605444534538,4.0,0.0
archaeal-viruses-82-fna,31,kmc,8,0.2762254,0.008155316930690059,108.852,0.053903617689353304,4.0,0.0
archaeal-viruses-82-fna,4,jellyfish,1,0.20800000000000002,0.007483314773547878,3.3576,0.012547509713086508,0.008,0.0
archaeal-viruses-82-fna,4,jellyfish,4,0.21400000000000002,0.00489897948556636,3.3936,0.05716502427183956,0.008,0.0
archaeal-viruses-82-fna,4,jellyfish,8,0.182,0.009797958971132715,3.3560000000000003,0.04126015026632844,0.008,0.0
archaeal-viruses-82-fna,31,jellyfish,1,1.682,0.03187475490101848,54.056,0.0,0.668,0.0
archaeal-viruses-82-fna,31,jellyfish,4,0.5820000000000001,0.02399999999999998,55.8232,0.09567946488144706,0.668,0.0
archaeal-viruses-82-fna,31,jellyfish,8,0.38,0.008944271909999166,58.023199999999996,0.10764088442594663,0.668,0.0
cpr-78-fna,4,mercat2,1,11.162,0.06823488843692797,277.6752,0.21478770914557074,59.18399999999999,0.0
cpr-78-fna,4,mercat2,4,3.476,0.07472616676907749,277.6832,0.19986235263299584,59.18399999999999,0.0
cpr-78-fna,4,mercat2,8,2.136,0.02653299832284316,278.248,0.3960848393968162,59.18399999999999,0.0
cpr-78-fna,31,mercat2,1,23.074,0.13763720427268208,272.11679999999996,0.255692315097646,58.364,0.0
cpr-78-fna,31,mercat2,4,8.01,0.058991524815010334,272.3128,0.578424895729781,58.364,0.0
cpr-78-fna,31,mercat2,8,4.914,0.11943198901466898,272.1376,0.579846048533573,58.364,0.0
cpr-78-fna,4,kmc,1,0.18015799999999998,0.009918007723328312,57.955999999999996,2.886616843295972,0.0,0.0
cpr-78-fna,4,kmc,4,0.137277,0.003637135906176726,39.333600000000004,0.5685439648787057,0.0,0.0
cpr-78-fna,4,kmc,8,0.144622,0.00813281513376518,40.672000000000004,0.9641078777813206,0.0,0.0
cpr-78-fna,31,kmc,1,5.333228,0.226771375918567,917.0432000000001,2.7343999999999595,54.0,0.0
cpr-78-fna,31,kmc,4,1.48778,0.022603421864841638,906.0528,11.323301115840747,54.0,0.0
cpr-78-fna,31,kmc,8,0.8256058,0.01393675898335046,878.1727999999999,22.962940355276817,54.0,0.0
cpr-78-fna,4,jellyfish,1,2.066,0.01356465996625051,3.3879999999999995,0.039517084912731135,0.008,0.0
cpr-78-fna,4,jellyfish,4,2.076,0.01959591794226544,3.3464,0.04935422980859902,0.008,0.0
cpr-78-fna,4,jellyfish,8,1.582,0.007483314773547889,3.3768000000000002,0.04296230906271221,0.008,0.0
cpr-78-fna,31,jellyfish,1,37.827999999999996,0.11106754701531886,869.656,0.0,0.02,0.0
cpr-78-fna,31,jellyfish,4,10.69,0.35173853925892157,871.2688,0.009927738916805276,0.02,0.0
cpr-78-fna,31,jellyfish,8,6.0280000000000005,0.22780693580310496,873.4656000000001,0.012547509713094221,0.02,0.0
gtdb-archaea-100-fna,4,mercat2,1,32.414,0.26416661409042674,280.156,0.5539386247591016,177.488,0.0
gtdb-archaea-100-fna,4,mercat2,4,9.528,0.06968500556073715,280.3064,0.784210583963255,177.488,0.0
gtdb-archaea-100-fna,4,mercat2,8,5.470000000000001,0.046475800154489044,280.88800000000003,0.6630692271550461,177.488,0.0
gtdb-archaea-100-fna,31,mercat2,1,81.548,0.2059514505896964,277.812,0.3812568687905814,177.824,0.0
gtdb-archaea-100-fna,31,mercat2,4,26.898000000000003,0.06431174076325426,277.732,0.5116811507179101,177.824,0.0
gtdb-archaea-100-fna,31,mercat2,8,15.084,0.1333566646253572,278.024,0.5328504480621227,177.824,0.0
gtdb-archaea-100-fna,4,kmc,1,0.47786,0.010420361279725388,119.328,7.933838011958649,0.0,0.0
gtdb-archaea-100-fna,4,kmc,4,0.372742,0.012687433562387622,72.4656,2.2621951816764163,0.0,0.0
gtdb-archaea-100-fna,4,kmc,8,0.374478,0.011521654325660016,75.19919999999999,3.099222508952853,0.0,0.0
gtdb-archaea-100-fna,31,kmc,1,13.5774,0.217859193058269,2713.828,4.382000273847612,164.0,0.0
gtdb-archaea-100-fna,31,kmc,4,3.8975899999999997,0.04848110064757195,2674.2511999999997,10.709262503085803,164.0,0.0
gtdb-archaea-100-fna,31,kmc,8,2.145912,0.028734693595025434,2565.1344,7.011780989163833,164.0,0.0
gtdb-archaea-100-fna,4,jellyfish,1,6.134,0.016248076809271858,3.4095999999999997,0.06457739542595387,0.008,0.0
gtdb-archaea-100-fna,4,jellyfish,4,5.856,0.013564659966250614,3.4024,0.03653819918934159,0.008,0.0
gtdb-archaea-100-fna,4,jellyfish,8,4.424,0.013564659966250456,3.3952,0.05004957542277461,0.008,0.0
gtdb-archaea-100-fna,31,jellyfish,1,129.144,0.32848744268236507,3356.3016000000002,0.0019595917941802043,0.1,0.0
gtdb-archaea-100-fna,31,jellyfish,4,36.972,1.090016513636376,3357.9016,0.008236504112859847,0.1,0.0
gtdb-archaea-100-fna,31,jellyfish,8,19.342,0.4106287861317076,3360.1152,0.01299846144744042,0.1,0.0
gtdb-bacteria-100-fna,4,mercat2,1,57.902,0.6048272480634438,279.85360000000003,0.4953389142799121,317.428,0.0
gtdb-bacteria-100-fna,4,mercat2,4,16.084,0.08064738061462322,280.5232,0.4710186408200746,317.4288,0.0016000000000076398
gtdb-bacteria-100-fna,4,mercat2,8,9.0,0.055856960175075784,281.1648,0.28255293309396645,317.428,0.0
gtdb-bacteria-100-fna,31,mercat2,1,162.1,0.20445048300260574,293.7416,0.33977498436466524,320.204,0.0
gtdb-bacteria-100-fna,31,mercat2,4,48.818,0.09019977827023712,294.14480000000003,0.3522853388944794,320.204,0.0
gtdb-bacteria-100-fna,31,mercat2,8,27.536,0.052763623833091765,294.4672,0.3821237495890546,320.204,0.0
gtdb-bacteria-100-fna,4,kmc,1,0.7941314,0.02035113267216347,199.38,6.440753744710318,0.0,0.0
gtdb-bacteria-100-fna,4,kmc,4,0.6115668000000001,0.014093648121050847,106.3192,3.2691786369056093,0.0,0.0
gtdb-bacteria-100-fna,4,kmc,8,0.6057426,0.007647190506323202,107.428,5.066660912277435,0.0,0.0
gtdb-bacteria-100-fna,31,kmc,1,23.29512,0.25425935892312845,4863.5184,8.225609414505547,294.0,0.0
gtdb-bacteria-100-fna,31,kmc,4,6.255402,0.0671955678300287,4760.8576,21.838270935218194,294.0,0.0
gtdb-bacteria-100-fna,31,kmc,8,3.438416,0.024838480307780488,4599.4208,16.229855235337304,294.0,0.0
gtdb-bacteria-100-fna,4,jellyfish,1,10.895999999999999,0.03136877428271639,3.3920000000000003,0.049055071093618896,0.008,0.0
gtdb-bacteria-100-fna,4,jellyfish,4,9.690000000000001,0.02607680962081072,3.3519999999999994,0.03760850967533814,0.008,0.0
gtdb-bacteria-100-fna,4,jellyfish,8,7.731999999999999,0.057410800377629384,3.3848,0.027410946718418927,0.008,0.0
gtdb-bacteria-100-fna,31,jellyfish,1,246.37600000000003,0.2008581589082264,6582.688,0.002529822128074881,0.188,0.0
gtdb-bacteria-100-fna,31,jellyfish,4,70.40599999999999,2.7342026259953736,6584.2856,0.010307278981503435,0.188,0.0
gtdb-bacteria-100-fna,31,jellyfish,8,39.178,2.726612550400221,6586.508,0.016780941570672475,0.188,0.0
phages-100-fna,4,mercat2,1,2.152,0.06046486583132394,279.384,0.6705460461444891,9.012,0.0
phages-100-fna,4,mercat2,4,1.0859999999999999,0.054626001134990644,280.43760000000003,0.5954848780615766,9.012,0.0
phages-100-fna,4,mercat2,8,0.9179999999999999,0.07359347797189637,280.772,0.3402775337867616,9.012,0.0
phages-100-fna,31,mercat2,1,2.96,0.033466401061363026,268.5888,0.6051691994806196,7.672,0.0
phages-100-fna,31,mercat2,4,1.3679999999999999,0.02993325909419148,268.6328,0.4286865521566869,7.672,0.0
phages-100-fna,31,mercat2,8,1.032,0.014696938456699081,269.62080000000003,0.6191162734091337,7.672,0.0
phages-100-fna,4,kmc,1,0.043436999999999996,0.004358930143968815,28.8024,0.7925032744411841,0.0,0.0
phages-100-fna,4,kmc,4,0.034129,0.0033188094250800235,27.4704,0.1930902379717828,0.0,0.0
phages-100-fna,4,kmc,8,0.0293922,0.006291012681595866,27.9712,0.29479104464009814,0.0,0.0
phages-100-fna,31,kmc,1,0.8065486,0.012171126153318746,139.26080000000002,0.01704582060212817,6.0,0.0
phages-100-fna,31,kmc,4,0.34568699999999997,0.02198718978860191,139.4384,0.029890466707629997,6.0,0.0
phages-100-fna,31,kmc,8,0.2930196,0.017993536846323467,139.5944,0.13549553498177622,6.0,0.0
phages-100-fna,4,jellyfish,1,0.27,0.010954451150103312,3.3688000000000002,0.029437391188758585,0.008,0.0
phages-100-fna,4,jellyfish,4,0.27999999999999997,0.008944271909999142,3.3896,0.06638554059431924,0.008,0.0
phages-100-fna,4,jellyfish,8,0.22800000000000004,0.007483314773547881,3.3415999999999997,0.06795763386110502,0.008,0.0
phages-100-fna,31,jellyfish,1,3.732,0.01166190378969055,110.83279999999999,0.0016000000000019555,0.008,0.0
phages-100-fna,31,jellyfish,4,1.218,0.03487119154832542,112.428,0.00876356092008299,0.008,0.0
phages-100-fna,31,jellyfish,8,0.702,0.019390719429665308,114.61600000000001,0.005656854249491254,0.008,0.0
viruses-100-fna,4,mercat2,1,1.576,0.2155550973649197,280.0264,0.43075078641831616,5.036,0.0
viruses-100-fna,4,mercat2,4,0.9259999999999999,0.056780278266313565,279.9256,0.6299947936292634,5.036,0.0
viruses-100-fna,4,mercat2,8,0.8300000000000001,0.13145341380123984,280.94960000000003,0.5172332549247084,5.036,0.0
viruses-100-fna,31,mercat2,1,1.8239999999999998,0.05535341001239214,271.1016,0.3487265977811173,3.8519999999999994,0.0
viruses-100-fna,31,mercat2,4,1.01,0.03405877273185283,271.48159999999996,0.43739300405927917,3.8519999999999994,0.0
viruses-100-fna,31,mercat2,8,0.922,0.08772684879784523,271.0672,0.550231369516495,3.8519999999999994,0.0
viruses-100-fna,4,kmc,1,0.0204002,0.00224788330657977,26.796,0.32447865877434817,0.0,0.0
viruses-100-fna,4,kmc,4,0.0188978,0.00049388719359789,26.657600000000002,0.25506830457742125,0.0,0.0
viruses-100-fna,4,kmc,8,0.019764399999999998,0.0005851716329419932,26.7688,0.18372849534027166,0.0,0.0
viruses-100-fna,31,kmc,1,0.45865619999999996,0.008415519553776823,77.0672,0.017417232845662323,2.0,0.0
viruses-100-fna,31,kmc,4,0.2491456,0.015350460912949816,77.1872,0.09490711248373175,2.0,0.0
viruses-100-fna,31,kmc,8,0.23921540000000002,0.018413276184318747,77.4552,0.053029802941364126,2.0,0.0
viruses-100-fna,4,jellyfish,1,0.12,0.008944271909999161,3.3735999999999997,0.042452797316549155,0.008,0.0
viruses-100-fna,4,jellyfish,4,0.146,0.004898979485566347,3.3424,0.053582086558849176,0.008,0.0
viruses-100-fna,4,jellyfish,8,0.126,0.00489897948556636,3.3432000000000004,0.04082352263095387,0.008,0.0
viruses-100-fna,31,jellyfish,1,1.472,0.013266499161421611,54.04,0.0,0.008,0.0
viruses-100-fna,31,jellyfish,4,0.536,0.016248076809271934,55.612,0.0056568542494922595,0.008,0.0
viruses-100-fna,31,jellyfish,8,0.33399999999999996,0.013564659966250536,57.812,0.0035777087640008584,0.008,0.0
